"","match_id","player","set","serve_pts","aces","dfs","first_in","first_won","second_in","second_won","bk_pts","bp_saved","return_pts","return_pts_won","winners","winners_fh","winners_bh","unforced","unforced_fh","unforced_bh","year","match_id_copy","gender","tourney_name_dash","round.x","player_1_dash","player_2_dash","tourney_name.x","player_1","player_2","p1_id","p2_id","atp_key","Date","atp_winner_id","winner_class","loser_class","upset_type","wflag","ace_pct","df_pct","firstin_pct","firstwon_pct","secondwon_pct","bkfcd_pct","bksvd_pct","retwon_pct","win_uf_ratio","player_id","class"
"21","20120314-M-Indian_Wells_Masters-R16-Roger_Federer-Thomaz_Bellucci",1,"Total",73,8,1,50,41,23,12,3,1,83,30,27,12,2,40,23,16,2012,20120314,"M","Indian_Wells_Masters","R16","Roger_Federer","Thomaz_Bellucci","Indian Wells Masters","Roger Federer","Thomaz Bellucci",103819,105064,8424,2012-03-15,103819,"Sure Thing","No Hope","Favorite Won","W",0.10958904109589,0.0136986301369863,0.684931506849315,0.82,0.521739130434783,0.0410958904109589,0.333333333333333,0.36144578313253,0.675,103819,"Sure Thing"
"22","20120314-M-Indian_Wells_Masters-R16-Roger_Federer-Thomaz_Bellucci",2,"Total",83,6,4,45,34,38,19,7,4,73,20,19,7,5,32,12,16,2012,20120314,"M","Indian_Wells_Masters","R16","Roger_Federer","Thomaz_Bellucci","Indian Wells Masters","Roger Federer","Thomaz Bellucci",103819,105064,8424,2012-03-15,103819,"Sure Thing","No Hope","Favorite Won","L",0.072289156626506,0.0481927710843374,0.542168674698795,0.755555555555556,0.5,0.0843373493975904,0.571428571428571,0.273972602739726,0.59375,105064,"No Hope"
"23","20120319-M-Indian_Wells_Masters-Final-Roger_Federer-John_Isner",1,"Total",56,7,2,35,33,21,14,3,3,71,25,27,17,3,21,10,9,2012,20120319,"M","Indian_Wells_Masters","Final","Roger_Federer","John_Isner","Indian Wells Masters","Roger Federer","John Isner",103819,104545,8433,2012-03-18,103819,"Heavy Favorite","Heavy Dog","Favorite Won","W",0.125,0.0357142857142857,0.625,0.942857142857143,0.666666666666667,0.0535714285714286,1,0.352112676056338,1.28571428571429,103819,"Heavy Favorite"
"24","20120319-M-Indian_Wells_Masters-Final-Roger_Federer-John_Isner",2,"Total",71,4,1,52,36,19,10,3,1,56,9,13,7,0,27,14,12,2012,20120319,"M","Indian_Wells_Masters","Final","Roger_Federer","John_Isner","Indian Wells Masters","Roger Federer","John Isner",103819,104545,8433,2012-03-18,103819,"Heavy Favorite","Heavy Dog","Favorite Won","L",0.0563380281690141,0.0140845070422535,0.732394366197183,0.692307692307692,0.526315789473684,0.0422535211267606,0.333333333333333,0.160714285714286,0.481481481481481,104545,"Heavy Dog"
"25","20120327-M-Miami_Masters-QF-David_Ferrer-Novak_Djokovic",1,"Total",54,2,2,34,21,20,7,6,3,66,24,11,8,1,26,18,6,2012,20120327,"M","Miami_Masters","QF","David_Ferrer","Novak_Djokovic","Miami Masters","David Ferrer","Novak Djokovic",103970,104925,7106,2012-03-30,104925,"Heavy Favorite","Heavy Dog","Favorite Won","L",0.037037037037037,0.037037037037037,0.62962962962963,0.617647058823529,0.35,0.111111111111111,0.5,0.363636363636364,0.423076923076923,103970,"Heavy Dog"
"26","20120327-M-Miami_Masters-QF-David_Ferrer-Novak_Djokovic",2,"Total",66,4,1,37,26,29,16,4,2,54,26,17,10,3,24,11,12,2012,20120327,"M","Miami_Masters","QF","David_Ferrer","Novak_Djokovic","Miami Masters","David Ferrer","Novak Djokovic",103970,104925,7106,2012-03-30,104925,"Heavy Favorite","Heavy Dog","Favorite Won","W",0.0606060606060606,0.0151515151515152,0.560606060606061,0.702702702702703,0.551724137931034,0.0606060606060606,0.5,0.481481481481481,0.708333333333333,104925,"Heavy Favorite"
"27","20120415-M-Casablanca-F-Albert_Ramos-Pablo_Andujar",1,"Total",55,0,0,29,15,26,14,4,0,82,31,22,15,7,31,17,14,2012,20120415,"M","Casablanca","F","Albert_Ramos","Pablo_Andujar","Casablanca","Albert Ramos","Pablo Andujar",105077,104665,7658,2012-04-15,104665,"Clear Favorite","Slight Favorite","Favorite Won","L",0,0,0.527272727272727,0.517241379310345,0.538461538461538,0.0727272727272727,0,0.378048780487805,0.709677419354839,105077,"Slight Favorite"
"28","20120415-M-Casablanca-F-Albert_Ramos-Pablo_Andujar",2,"Total",82,1,6,58,40,24,11,4,3,55,26,26,14,10,24,11,7,2012,20120415,"M","Casablanca","F","Albert_Ramos","Pablo_Andujar","Casablanca","Albert Ramos","Pablo Andujar",105077,104665,7658,2012-04-15,104665,"Clear Favorite","Slight Favorite","Favorite Won","W",0.0121951219512195,0.0731707317073171,0.707317073170732,0.689655172413793,0.458333333333333,0.0487804878048781,0.75,0.472727272727273,1.08333333333333,104665,"Clear Favorite"
"29","20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar",1,"Total",85,7,5,44,33,41,19,8,5,81,34,43,15,21,52,21,26,2012,20120505,"M","Belgrade","SF","Benoit_Paire","Pablo_Andujar","Belgrade","Benoit Paire","Pablo Andujar",105332,104665,7326,2012-05-05,105332,"Clear Dog","Heavy Favorite","Slightly Unusual","W",0.0823529411764706,0.0588235294117647,0.517647058823529,0.75,0.463414634146341,0.0941176470588235,0.625,0.419753086419753,0.826923076923077,105332,"Clear Dog"
"30","20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar",2,"Total",81,1,6,55,35,26,12,8,5,85,33,10,7,2,23,7,10,2012,20120505,"M","Belgrade","SF","Benoit_Paire","Pablo_Andujar","Belgrade","Benoit Paire","Pablo Andujar",105332,104665,7326,2012-05-05,105332,"Clear Dog","Heavy Favorite","Slightly Unusual","L",0.0123456790123457,0.0740740740740741,0.679012345679012,0.636363636363636,0.461538461538462,0.0987654320987654,0.625,0.388235294117647,0.434782608695652,104665,"Heavy Favorite"
