Year,Odds_Name,Odds_LN,atp_ln,atp_fn,atp_name,atp_player_id,Odds_Check,Odds_Boolean
2010,Bogomolov A.,Bogomolov,Bogomolov Jr,Alexander,Alexander Bogomolov,104166,Bogomolov A.,TRUE
2010,Bohli S.,Bohli,Bohli,Stephane,Stephane Bohli,104219,Bohli S.,TRUE
2010,Bolelli S.,Bolelli,Bolelli,Simone,Simone Bolelli,104620,Bolelli S.,TRUE
2010,Bopanna R.,Bopanna,Bopanna,Rohan,Rohan Bopanna,103523,Bopanna R.,TRUE
2010,Bozoljac I.,Bozoljac,Bozoljac,Ilija,Ilija Bozoljac,104592,Bozoljac I.,TRUE
2010,Brands D.,Brands,Brands,Daniel,Daniel Brands,104978,Brands D.,TRUE
2010,Britton D.,Britton,Britton,Devin,Devin Britton,105730,Britton D.,TRUE
2010,Brown D.,Brown,Brown,Dustin,Dustin Brown,104460,Brown D.,TRUE
2010,Bubka S.,Bubka,Bubka,Sergei,Sergei Bubka,104869,Bubka S.,TRUE
2010,Capdeville P.,Capdeville,Capdeville,Paul,Paul Capdeville,104154,Capdeville P.,TRUE
2010,Cermak F.,Cermak,Cermak,Frantisek,Frantisek Cermak,102886,Cermak F.,TRUE
2010,Cervantes I.,Cervantes,Cervantes Huegun,Inigo,Inigo Cervantes,105438,Cervantes Huegun I.,TRUE
2010,Chardy J.,Chardy,Chardy,Jeremy,Jeremy Chardy,104871,Chardy J.,TRUE
2010,Chela J.I.,Chela,Chela,Juan Ignacio,Juan Ignacio Chela,103428,Chela J.,TRUE
2010,Chiudinelli M.,Chiudinelli,Chiudinelli,Marco,Marco Chiudinelli,103843,Chiudinelli M.,TRUE
2010,Cilic M.,Cilic,Cilic,Marin,Marin Cilic,105227,Cilic M.,TRUE
2010,Cipolla F.,Cipolla,Cipolla,Flavio,Flavio Cipolla,104262,Cipolla F.,TRUE
2010,Clement A.,Clement,Clement,Arnaud,Arnaud Clement,103096,Clement A.,TRUE
2010,Copil M.,Copil,Copil,Marius,Marius Copil,105657,Copil M.,TRUE
2010,Crivoi V.,Crivoi,Crivoi,Victor,Victor Crivoi,104003,Crivoi V.,TRUE
2010,Cuevas P.,Cuevas,Cuevas,Pablo,Pablo Cuevas,104655,Cuevas P.,TRUE
2010,Dabul B.,Dabul,Dabul,Brian,Brian Dabul,104314,Dabul B.,TRUE
2010,Dancevic F.,Dancevic,Dancevic,Frank,Frank Dancevic,104433,Dancevic F.,TRUE
2010,Daniel M.,Daniel,Daniel,Michael,Michael Daniel,101207,Daniel M.,TRUE
2010,Darcis S.,Darcis,Darcis,Steve,Steve Darcis,104327,Darcis S.,TRUE
2010,Dasnieres de Veigy J.,Dasnieres,Dasnieres De Veigy,Jonathan,Jonathan Dasnieres,104850,Dasnieres De Veigy J.,TRUE
2010,Davydenko N.,Davydenko,Davydenko,Nikolay,Nikolay Davydenko,103786,Davydenko N.,TRUE
2010,De Bakker T.,De,De Bakker,Thiemo,Thiemo De,105217,De Bakker T.,TRUE
2010,De Heart R.,De,Deheart,Ryler,Ryler De,104281,Deheart R.,TRUE
2010,De Voest R.,De,De Voest,Rik,Rik De,103573,De Voest R.,TRUE
2010,Deheart R.,Deheart,Deheart,Ryler,Ryler Deheart,104281,Deheart R.,TRUE
