atp_key,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,W LN,W Key,L LN,L Key
2960,2013-328,Basel,Hard,32,A,20131021,1,105223,1,,Juan Martin Del Potro,R,198,ARG,25.07597536,5,5365,105967,,WC,Henri Laaksonen,R,,SUI,21.5578371,224,212,6-4 6-4,3,R32,80,4,4,53,33,27,11,10,0,1,8,6,55,29,22,12,10,4,7,Martin Del Potro,Martin Del Potro J.,Laaksonen,Laaksonen H.
2961,2013-328,Basel,Hard,32,A,20131021,2,104571,,,Marcos Baghdatis,R,183,CYP,28.3449692,97,570,103794,,Q,Benjamin Becker,R,178,GER,32.34770705,72,675,7-6(8) 6-1,3,R32,92,6,3,66,26,21,26,10,0,1,9,4,70,39,27,15,9,7,10,Baghdatis,Baghdatis M.,Becker,Becker B.
2962,2013-328,Basel,Hard,32,A,20131021,3,103908,,Q,Paul Henri Mathieu,R,185,FRA,31.77275838,101,549,106045,,Q,Denis Kudla,R,180,USA,21.17727584,96,583,6-4 7-5,3,R32,92,6,4,65,31,25,19,11,2,3,2,3,77,52,38,8,11,9,12,Henri Mathieu,Henri Mathieu P.,Kudla,Kudla D.
2963,2013-328,Basel,Hard,32,A,20131021,4,103566,,,Michael Llodra,L,190,FRA,33.42642026,55,866,104755,5,,Richard Gasquet,R,185,FRA,27.34291581,10,3220,6-4 6-2,3,R32,70,8,5,55,31,25,15,9,2,2,2,2,66,34,23,15,9,6,9,Llodra,Llodra M.,Gasquet,Gasquet R.
2964,2013-328,Basel,Hard,32,A,20131021,5,104273,,,Edouard Roger Vasselin,R,188,FRA,29.8973306,65,768,104527,4,,Stanislas Wawrinka,R,183,SUI,28.56673511,8,3240,6-4 6-3,3,R32,71,1,3,62,37,28,15,9,3,3,3,5,57,20,13,21,10,3,6,Roger Vasselin,Roger Vasselin E.,Wawrinka,Wawrinka S.
2965,2013-328,Basel,Hard,32,A,20131021,6,104735,,Q,Tobias Kamke,R,180,GER,27.41957563,81,627,103812,,,Victor Hanescu,R,198,ROU,32.25188227,76,656,6-4 6-4,3,R32,84,3,5,70,36,29,16,10,7,8,2,1,56,38,27,9,10,2,5,Kamke,Kamke T.,Hanescu,Hanescu V.
2966,2013-328,Basel,Hard,32,A,20131021,7,103997,,,Lukasz Kubot,R,190,POL,31.43326489,70,682,104593,,,Daniel Gimeno Traver,R,185,ESP,28.20533881,71,676,7-6(6) 6-2,3,R32,88,7,4,60,39,31,10,10,2,4,0,6,73,35,22,17,10,6,10,Kubot,Kubot L.,Gimeno Traver,Gimeno Traver D.
2967,2013-328,Basel,Hard,32,A,20131021,8,104978,,,Daniel Brands,R,196,GER,26.2642026,58,826,104312,7,,Andreas Seppi,R,190,ITA,29.66461328,27,1395,7-6(3) 6-3,3,R32,89,12,2,77,50,39,17,11,4,4,5,4,77,41,34,17,10,8,9,Brands,Brands D.,Seppi,Seppi A.
2968,2013-328,Basel,Hard,32,A,20131021,9,105777,8,,Grigor Dimitrov,R,188,BUL,22.43394935,22,1500,103285,,,Radek Stepanek,R,185,CZE,34.89938398,45,950,6-3 6-3,3,R32,74,9,0,54,27,24,14,9,0,1,0,5,56,25,16,12,9,4,8,Dimitrov,Dimitrov G.,Stepanek,Stepanek R.
2969,2013-328,Basel,Hard,32,A,20131021,10,105238,,WC,Alexandr Dolgopolov,R,180,UKR,24.95277207,38,1080,104932,,,Kenny De Schepper,L,203,FRA,26.39835729,88,611,6-4 6-4,3,R32,58,8,2,50,30,27,13,10,0,0,6,4,51,29,22,13,10,1,3,Dolgopolov,Dolgopolov A.,De Schepper,De Schepper K.
